alternative_id,entropy_score,waspas_score,promethee_score,csa_score,csa_rank,entropy_rank,waspas_rank,promethee_rank,borda_points,borda_rank
A60,0.6772852189567734,0.6866341894987069,0.4982549737784229,1.0,1,1,1,1,453,1
A109,0.6448899583287313,0.6711511411605533,0.4361373773222702,0.934599805969611,2,10,2,2,442,3
A26,0.6437569117398037,0.6697658551062033,0.426627109324025,0.9268806033179449,3,11,3,3,439,4
A98,0.6688583844337399,0.6641440336006688,0.379769367260823,0.9039243185802881,4,2,4,4,446,2
A8,0.6478225532615325,0.6555900643831367,0.3666453080209736,0.8807942697107364,5,7,6,5,438,5
A51,0.633727682125027,0.6574577181651087,0.3408191621427498,0.8574187924505255,6,19,5,6,426,7
A106,0.652313537002306,0.6489243162254716,0.3255160771876847,0.8515088903725834,7,6,8,7,435,6
A62,0.6110977358131348,0.6495004673047975,0.3161974791539317,0.8259749996508866,8,42,7,8,399,18
A134,0.6384612506458268,0.6462229491690616,0.269133792785051,0.8051059634009166,9,16,9,10,421,10
A59,0.5967078570479277,0.6455842587876924,0.2920760552139057,0.8007621801165972,10,69,10,9,368,28
A22,0.6525850254135557,0.6337859535867771,0.2594117698051783,0.7989717172877779,11,5,17,12,422,9
A140,0.6622227980031036,0.638746539773255,0.2473416747846625,0.797727659276491,12,4,12,16,424,8
A92,0.6460096294297304,0.6318374270235332,0.2605680988020995,0.7956941798266496,13,9,20,11,416,11
A12,0.6280669183356482,0.6413104804290105,0.2501876011397853,0.7848220918151535,14,24,11,15,406,15
A15,0.629885556193014,0.6360729297684891,0.2515832550415045,0.7840414858803422,15,20,14,14,408,13
A6,0.6253332267535947,0.6380190523776119,0.2473364930474134,0.7799544163437309,16,26,13,17,400,17
A1,0.6382153245049611,0.6327615708915715,0.2338664485634804,0.774226872607535,17,17,18,18,403,16
A63,0.6677861914015468,0.6326174503585216,0.2113753656927717,0.7727420738468542,18,3,19,24,410,12
A76,0.6397286822503595,0.6360420248119059,0.2275628861204061,0.7722574326606397,19,14,15,20,407,14
A119,0.5880084343218575,0.6352609384981709,0.2544744934540299,0.7658518406407667,20,80,16,13,347,31
A48,0.6097298604780608,0.6308559872832316,0.2318022558237125,0.7584296816538707,21,44,22,19,371,26
A102,0.6238954570302626,0.6293159583893814,0.2206615290660724,0.7567397344235562,22,28,24,21,383,21
A21,0.6356819003707321,0.6274071420398117,0.2123876770524009,0.7557034764993458,23,18,25,23,390,19
A29,0.6203225569635361,0.6303082690503283,0.2165470325737743,0.7527331385693219,24,33,23,22,378,23
A11,0.6393921352601939,0.6232873802829075,0.1970286627813012,0.7449197443022004,25,15,29,26,386,20
