scenario_name,scenario_type,spearman_vs_base,kendall_vs_base,top10_overlap_with_base,mean_rank_shift,max_rank_shift
equal_weights,weighting,0.9994527710003485,0.9853421633554084,9,0.9403973509933775,4.0
entropy_up,weighting,0.9982955733705123,0.9701545253863134,9,1.8278145695364238,8.0
waspas_up,weighting,0.999512025095852,0.9860485651214127,9,0.8609271523178808,5.0
promethee_up,weighting,0.9999442314395259,0.9977041942604856,10,0.17218543046357615,2.0
reported_weights,weighting,0.999606134541652,0.9878145695364239,9,0.7947019867549668,3.0
reported_weights_minmax,normalization,0.9887730916695712,0.9171743929359824,8,4.6092715231788075,30.0
equal_weights_minmax,normalization,0.9875566399442314,0.9122295805739514,8,4.887417218543046,31.0
drop_entropy,leave_one_method_out,0.9974416172882536,0.9637969094922738,10,2.185430463576159,11.0
drop_waspas,leave_one_method_out,0.9986894388288601,0.9750993377483443,8,1.6158940397350994,7.0
drop_promethee,leave_one_method_out,0.9650121993726036,0.8479470198675497,7,8.264900662251655,48.0
